pos_score,neu_score,neg_score,value
30,20,0,1
30,200,0,-1
30,40,0,1
0,160,0,0
0,360,0,0
240,12460,130,0
1920,11500,0,1
60,3020,10,-1
0,4320,0,1
30,3660,10,0
0,80,0,-1
120,300,40,-1
30,240,0,-1
0,160,0,1
180,7000,20,1
0,180,10,-1
0,140,0,0
0,40,0,1
30,540,20,1
30,2940,20,-1
60,8600,0,-1
270,1820,10,1
60,140,0,0
330,1580,40,-1
150,1100,30,0
0,160,0,-1
2070,24300,60,-1
30,880,0,0
30,4700,20,1
210,1220,0,-1
210,380,0,1
0,100,0,0
0,480,0,0
180,740,0,0
0,0,0,-1
0,180,0,-1
90,5400,20,1
0,0,0,-1
630,920,20,1
0,0,0,-1
150,9300,10,1
0,4940,10,0
30,200,0,1
0,2500,0,1
0,120,0,0
0,120,0,-1
0,320,0,-1
0,140,0,-1
0,60,0,0
240,700,0,0
60,460,0,0
30,1280,0,1
210,4700,20,1
30,280,10,-1
90,940,20,0
30,20,0,1
0,180,10,0
0,280,0,-1
30,180,10,1
0,140,0,0
0,3200,0,1
30,180,10,-1
120,1060,0,0
1830,7940,30,1
120,10420,20,0
0,220,0,0
30,60,0,1
0,80,0,0
0,0,0,1
30,240,20,-1
90,1080,40,1
90,380,0,0
120,1440,0,1
30,520,20,0
30,180,0,1
0,540,10,-1
0,180,0,0
60,280,0,1
30,4000,30,1
30,9400,20,0
30,160,0,0
1830,6780,20,0
60,1320,10,-1
120,1320,0,1
0,200,0,0
0,180,0,1
360,2800,50,0
0,0,0,-1
0,200,0,0
0,220,0,1
30,1800,30,0
60,100,10,-1
0,4060,0,0
0,1600,30,0
1950,6620,50,1
30,360,30,-1
0,160,20,-1
90,160,0,1
0,980,0,1
0,0,0,0
0,60,0,0
60,120,0,-1
30,340,20,0
0,240,0,0
0,80,0,0
60,1700,20,-1
0,40,0,1
210,1960,70,-1
0,360,0,1
30,900,0,-1
90,60,0,1
30,7200,20,0
0,2060,0,1
0,0,0,-1
0,1360,20,0
60,1120,180,-1
0,0,0,1
60,6280,20,1
0,0,0,-1
0,7760,60,1
0,1420,0,0
0,180,0,1
0,1440,0,-1
0,0,0,1
240,1780,40,0
0,120,0,0
0,7820,20,1
0,140,0,0
0,0,0,1
0,120,0,0
0,0,0,0
30,240,0,1
60,160,0,1
0,0,0,1
0,1800,20,0
0,0,0,0
30,100,0,0
0,340,0,-1
30,240,20,1
0,460,30,1
0,2720,0,0
90,260,10,0
420,3920,90,0
60,1520,40,1
0,1240,0,0
0,80,0,1
0,6480,0,1
60,100,0,1
30,1620,0,1
0,2340,0,0
0,340,0,0
0,280,0,0
0,0,0,0
60,180,10,-1
90,2380,20,1
0,4580,0,1
60,40,0,0
0,540,0,0
60,1520,20,1
0,480,0,-1
0,240,0,0
90,1620,0,0
60,1380,100,1
60,240,0,1
0,1100,0,0
0,40,0,0
60,200,0,1
0,200,0,0
180,540,0,0
0,0,0,0
30,3320,0,0
30,1240,20,0
0,180,0,0
0,1060,0,-1
0,1840,0,-1
30,40,20,-1
570,1760,30,-1
30,1460,40,0
0,260,0,1
0,200,0,1
0,10580,20,-1
0,0,0,1
60,220,10,0
0,0,0,0
150,4380,20,-1
30,260,0,1
60,1340,20,-1
390,2420,70,1
0,160,0,0
390,5380,0,0
30,100,0,0
0,20,0,0
120,400,10,1
30,120,0,1
30,100,0,0
0,120,0,0
60,80,10,1
30,2240,20,-1
0,3920,0,0
0,7700,0,0
180,3340,60,1
0,160,0,1
0,0,0,0
90,3120,20,0
0,2880,0,1
30,5740,0,-1
30,800,30,0
0,0,0,0
0,80,0,-1
30,140,0,-1
120,5580,40,1
0,20,0,0
30,1920,0,1
60,14640,10,0
0,20,0,0
0,620,0,0
390,1720,70,1
120,2600,40,1
1980,11680,50,0
0,500,0,0
60,1660,20,-1
0,160,0,0
180,3360,20,0
120,1680,20,1
0,1840,0,1
60,1960,10,-1
1830,5140,30,0
240,10120,40,1
180,660,20,-1
0,240,0,-1
0,6220,0,0
0,20,0,1
0,3500,0,-1
0,280,0,0
30,2020,10,-1
0,5500,0,0
0,1580,0,1
1800,6100,0,1
0,80,0,-1
30,4820,0,0
90,1540,90,0
0,160,0,0
30,100,0,0
0,260,0,1
30,840,10,-1
120,2700,0,-1
120,6880,100,0
0,5220,10,0
0,1120,0,0
30,2240,20,-1
30,40,0,1
90,3340,0,1
30,240,0,-1
0,200,0,1
0,20,0,1
150,6060,0,1
30,40,0,1
30,4260,20,0
0,540,0,0
60,220,10,-1
0,40,0,0
0,4260,0,0
30,1080,0,0
90,940,0,0
30,100,0,0
30,1300,30,-1
30,180,0,-1
0,200,0,1
2400,8780,0,0
0,140,0,0
1950,5400,0,1
0,100,0,0
30,440,0,0
0,120,0,1
0,1700,0,0
0,200,0,0
450,400,0,1
0,1020,0,0
0,40,0,-1
0,1120,0,0
0,520,0,-1
0,3500,0,0
0,680,0,-1
0,200,0,0
0,120,0,-1
0,1500,0,0
30,1340,0,0
0,3900,0,1
90,1860,0,-1
120,520,0,0
0,260,0,1
0,40,0,0
0,140,0,0
30,0,0,1
30,6180,0,0
0,400,0,1
0,1280,0,0
0,780,0,0
30,60,0,1
0,60,0,0
0,1820,10,-1
0,120,0,0
120,420,0,0
120,6280,50,0
0,1460,0,-1
0,2860,0,0
2070,10920,20,1
120,140,0,1
30,0,0,1
0,280,0,0
0,60,0,0
90,5180,0,-1
30,300,20,1
60,600,0,0
0,780,0,0
270,6320,90,1
0,200,0,-1
0,0,0,0
0,20,0,1
0,40,0,1
90,4120,20,1
60,120,0,0
30,1040,20,-1
90,620,10,-1
1920,8520,20,1
0,180,0,-1
0,100,0,0
0,80,0,0
60,1360,0,0
150,9920,0,1
180,4720,40,1
0,100,10,0
30,160,0,1
30,80,0,0
60,2460,20,0
0,40,0,0
0,5320,0,0
30,180,0,1
0,160,0,1
540,740,30,-1
0,0,10,-1
1800,9980,0,1
30,460,0,1
30,340,20,-1
60,300,0,1
930,1000,70,-1
60,6920,50,0
150,1080,10,-1
180,1860,0,-1
0,40,0,0
0,1380,0,0
0,200,0,1
30,1880,20,0
30,4180,0,0
0,520,0,1
120,1020,0,-1
0,240,0,0
30,200,20,0
30,1880,0,0
270,2300,0,1
30,220,10,-1
0,0,0,-1
0,860,0,-1
0,60,0,1
0,60,0,-1
30,180,0,1
0,180,0,0
180,10580,20,-1
120,800,0,0
30,20,0,1
0,3060,0,0
60,4280,10,0
90,860,30,1
630,900,30,1
60,220,0,1
150,220,20,0
0,100,0,0
0,280,0,0
0,660,0,0
30,920,20,0
0,3500,0,-1
90,2620,20,1
0,160,0,0
180,4160,20,1
240,6080,10,0
0,380,0,1
30,340,10,0
210,580,20,0
60,2860,20,1
180,3720,20,0
0,60,0,0
90,1280,10,0
0,1780,0,1
30,560,20,-1
60,240,0,1
30,1420,0,1
90,300,0,1
0,1100,0,0
30,260,0,0
0,100,0,0
0,1640,0,0
0,11100,10,1
540,1100,0,0
0,3800,0,-1
0,4300,0,0
30,4860,20,0
30,180,0,0
0,140,0,-1
180,1280,0,1
0,240,0,-1
0,80,10,-1
0,1640,0,1
30,1740,10,0
30,180,0,1
30,5320,0,0
0,2900,0,1
90,2460,10,0
210,3480,10,0
0,40,0,0
930,3420,190,-1
90,4860,10,1
30,5560,0,-1
0,220,10,1
1860,7060,140,-1
0,220,0,1
30,220,0,0
30,300,20,1
0,3840,0,0
150,1480,20,1
90,2000,90,1
30,60,0,0
30,40,0,1
0,100,0,0
0,4400,0,0
60,160,0,1
30,300,10,-1
30,200,0,1
30,1520,20,1
30,100,0,1
0,200,10,-1
60,220,0,1
0,280,0,0
0,240,0,0
30,180,0,0
0,1780,0,1
60,5160,90,1
0,100,20,-1
0,6740,0,1
30,120,0,1
30,240,0,1
0,180,0,-1
0,200,10,0
