pos_score,neu_score,neg_score,sub_score,value
120,10920,40,9.966666666666669,1
30,2000,0,0.0,1
570,1820,140,23.923199023199032,0
120,200,20,4.8,1
30,600,0,0.7,-1
30,4460,30,2.471428571428572,1
30,2380,190,28.58333333333334,-1
0,6280,0,0.5,-1
420,8600,90,34.06666666666663,1
630,14060,90,29.95714285714285,0
90,200,0,2.35,-1
3930,28320,50,103.19226190476198,1
0,280,0,0.0,0
30,640,0,0.5714285714285714,0
0,100,0,0.0,0
0,3880,30,1.7000000000000002,-1
0,80,10,0.9,-1
30,1620,0,0.2,1
0,320,0,0.0,0
30,140,0,1.0,0
60,200,0,1.4666666666666668,1
30,420,0,0.5714285714285714,-1
0,860,0,0.0,-1
0,200,0,0.0,1
150,3760,0,1.2000000000000002,0
0,140,20,0.8,0
0,40,0,0.0,0
30,200,0,0.5,0
0,7320,0,6.857142857142859,0
0,140,0,0.0,0
0,280,0,0.0,1
120,2680,20,5.569230769230769,-1
0,240,0,0.0,1
90,380,30,6.2,0
0,0,0,0,0
0,0,0,0,-1
0,1040,0,0.0,0
60,1820,60,3.742857142857143,1
30,400,30,1.8714285714285714,0
0,120,0,0.0,1
0,140,0,0.0,0
0,1060,0,0.0,1
