,pos_score,neu_score,neg_score,sub_score
172,0.3,8.0,0.0,0.0057
173,0.3,0.8,0.1,0.007
174,0.0,1.2,0.0,0.0
175,0.0,0.2,0.0,0.0
176,0.0,3.4,0.0,0.0
177,0.9,6.0,0.0,0.0176
178,0.0,3.0,0.1,0.0067
179,0.0,2.0,0.0,0.0
180,0.0,2.0,0.0,0.0
181,18.3,151.6,0.4,0.5482
182,0.0,1.6,0.0,0.0
183,0.0,25.0,0.2,0.008
184,0.3,0.6,0.0,0.0
185,2.1,45.8,0.2,0.058
186,0.3,28.6,0.0,0.0
187,0.3,10.0,0.1,0.0184
188,0.3,6.6,0.0,0.007
189,4.8,39.0,0.4,0.1902
190,0.6,1.0,0.1,0.024
191,0.0,0.0,0.0,0.0
192,19.8,58.0,0.8,0.5911
193,1.2,32.0,0.2,0.046
194,0.3,20.2,0.2,0.038
195,4.8,65.2,0.3,0.094
196,0.6,31.2,0.2,0.0462
197,0.0,0.0,0.0,0.0
198,0.9,18.6,0.2,0.0375
199,0.3,17.4,0.0,0.0
200,0.0,2.4,0.0,0.0
201,0.6,3.4,0.3,0.048
202,1.8,119.8,0.7,0.2106
203,0.6,1.0,0.1,0.024
204,2.4,9.4,0.1,0.0433
205,0.6,91.4,0.5,0.1413
206,2.1,25.0,0.2,0.1406
207,0.0,1.6,0.0,0.0
208,0.0,1.2,0.0,0.0
209,0.0,0.0,0.0,0.0
210,0.0,0.0,0.0,0.0
211,0.3,2.4,0.0,0.009
212,0.3,5.0,0.2,0.038
213,0.9,5.4,0.0,0.0157
214,18.3,59.8,0.2,0.5105
215,1.5,8.4,0.0,0.0193
216,0.6,1.2,0.0,0.009
217,2.1,9.0,0.2,0.062
218,0.3,50.4,0.0,0.0037
219,0.0,1.0,0.1,0.0095
220,0.3,22.4,0.2,0.042
221,0.6,6.2,0.0,0.009
222,0.0,5.6,0.0,0.0
223,0.6,139.0,0.5,0.2117
224,0.3,7.6,0.2,0.038
225,0.0,44.6,0.0,0.0
226,1.2,0.4,0.0,0.008
227,0.3,1.2,0.0,0.003
228,0.6,8.8,0.1,0.024
229,2.7,18.6,0.2,0.1209
230,1.8,48.0,0.0,0.0898
231,0.3,10.6,0.0,0.01
232,0.0,10.2,0.0,0.012
233,0.9,10.6,0.0,0.0176
234,0.0,0.6,0.0,0.0
235,0.0,2.4,0.0,0.0
236,0.0,0.6,0.0,0.005
237,0.3,2.4,0.0,0.0057
238,0.0,0.0,0.0,0.0
239,0.6,1.2,0.0,0.0
240,0.3,41.0,0.2,0.038
241,0.3,1.4,0.1,0.0167
242,0.0,0.8,0.0,0.0
243,0.0,4.6,0.0,0.0
244,0.0,0.4,0.0,0.0
245,0.0,8.8,0.0,0.0
246,0.0,1.6,0.1,0.01
247,0.0,0.8,0.0,0.0
248,0.3,1.4,0.0,0.006
249,0.0,1.2,0.1,0.005
250,0.3,1.8,0.0,0.005
251,1.8,27.2,0.0,0.0895
252,0.0,8.8,0.0,0.0
253,1.2,15.6,0.9,0.1395
254,0.6,8.8,0.0,0.0265
255,0.9,0.6,0.0,0.0137
256,0.3,75.6,0.0,0.0808
257,0.0,2.2,0.2,0.019
258,0.0,25.2,0.0,0.0
259,1.2,2.4,0.1,0.028
260,0.6,42.0,0.0,0.0195
261,1.5,28.8,0.0,0.023
262,0.3,0.2,0.0,0.01
263,0.0,2.8,0.0,0.0
264,1.2,109.2,0.4,0.0997
265,0.3,20.0,0.0,0.0
266,5.7,18.2,1.4,0.2392
267,1.2,2.0,0.2,0.048
268,0.3,6.0,0.0,0.007
269,0.3,44.6,0.3,0.0247
270,0.3,23.8,1.9,0.2858
271,0.0,62.8,0.0,0.005
272,4.2,86.0,0.9,0.3407
273,6.3,140.6,0.9,0.2996
274,0.9,2.0,0.0,0.0235
275,39.3,283.2,0.5,1.0319
276,0.0,2.8,0.0,0.0
277,0.3,6.4,0.0,0.0057
278,0.0,1.0,0.0,0.0
279,0.0,38.8,0.3,0.017
280,0.0,0.8,0.1,0.009
281,0.3,16.2,0.0,0.002
282,0.0,3.2,0.0,0.0
283,0.3,1.4,0.0,0.01
284,0.6,2.0,0.0,0.0147
285,0.3,4.2,0.0,0.0057
286,0.0,8.6,0.0,0.0
287,0.0,2.0,0.0,0.0
288,1.5,37.6,0.0,0.012
289,0.0,1.4,0.2,0.008
290,0.0,0.4,0.0,0.0
291,0.3,2.0,0.0,0.005
