,pos_score,neu_score,neg_score,pos_sub_score,neu_sub_score,neg_sub_score
150,0.0,4.6,0.0,0.0,0.0,0.0
151,1.2,75.8,0.3,0.0295,0.0862,0.0155
152,0.3,1.6,0.0,0.01,0.0,0.0
153,0.0,0.0,0.0,0.0,0.0,0.0
154,0.6,1.0,0.1,0.014,0.0,0.01
155,0.0,39.0,0.1,0.0,0.0,0.0
156,0.0,17.0,0.0,0.0,0.0,0.0
157,0.3,3.6,0.1,0.0085,0.0021,0.005
158,0.0,2.4,0.0,0.0,0.0,0.0
159,0.0,43.8,0.0,0.0,0.0086,0.0
160,3.9,80.8,0.5,0.082,0.0286,0.0254
161,0.0,1.2,0.0,0.0,0.0,0.0
162,5.4,5.4,0.0,0.1178,0.0116,0.0
163,0.3,28.6,0.0,0.0057,0.0,0.0
164,0.0,0.2,0.0,0.0,0.0,0.0
165,0.0,11.2,0.0,0.0,0.0086,0.0
166,0.6,16.8,0.4,0.02,0.02,0.036
167,0.3,1.0,0.0,0.0,0.0114,0.0
168,0.3,13.6,0.2,0.01,0.015,0.018
169,5.7,7.8,0.2,0.1278,0.0216,0.018
170,0.3,18.6,0.0,0.0057,0.002,0.0
171,0.3,0.6,0.0,0.003,0.004,0.0
172,0.3,8.0,0.0,0.0057,0.0,0.0
173,0.3,0.8,0.1,0.003,0.0,0.004
174,0.0,1.2,0.0,0.0,0.0,0.0
175,0.0,0.2,0.0,0.0,0.0,0.0
176,0.0,3.4,0.0,0.0,0.0,0.0
177,0.9,6.0,0.0,0.0171,0.0005,0.0
178,0.0,3.0,0.1,0.0,0.0,0.0066
179,0.0,2.0,0.0,0.0,0.0,0.0
180,0.0,2.0,0.0,0.0,0.0,0.0
181,18.3,151.6,0.4,0.2199,0.2995,0.0286
182,0.0,1.6,0.0,0.0,0.0,0.0
183,0.0,25.0,0.2,0.0,0.0,0.008
184,0.3,0.6,0.0,0.0,0.0,0.0
185,2.1,45.8,0.2,0.03,0.01,0.018
186,0.3,28.6,0.0,0.0,0.0,0.0
187,0.3,10.0,0.1,0.009,0.004,0.0054
188,0.3,6.6,0.0,0.002,0.005,0.0
189,4.8,39.0,0.4,0.0897,0.0705,0.03
190,0.6,1.0,0.1,0.014,0.0,0.01
191,0.0,0.0,0.0,0.0,0.0,0.0
192,19.8,58.0,0.8,0.2456,0.2925,0.053
193,1.2,32.0,0.2,0.012,0.016,0.018
194,0.3,20.2,0.2,0.01,0.01,0.018
195,4.8,65.2,0.3,0.059,0.01,0.025
196,0.6,31.2,0.2,0.0125,0.0157,0.018
197,0.0,0.0,0.0,0.0,0.0,0.0
198,0.9,18.6,0.2,0.03,0.002,0.0054
199,0.3,17.4,0.0,0.0,0.0,0.0
200,0.0,2.4,0.0,0.0,0.0,0.0
201,0.6,3.4,0.3,0.01,0.01,0.028
202,1.8,119.8,0.7,0.047,0.1121,0.0514
203,0.6,1.0,0.1,0.014,0.0,0.01
204,2.4,9.4,0.1,0.0292,0.004,0.01
205,0.6,91.4,0.5,0.0157,0.1045,0.021
206,2.1,25.0,0.2,0.0421,0.0805,0.018
207,0.0,1.6,0.0,0.0,0.0,0.0
208,0.0,1.2,0.0,0.0,0.0,0.0
209,0.0,0.0,0.0,0.0,0.0,0.0
210,0.0,0.0,0.0,0.0,0.0,0.0
211,0.3,2.4,0.0,0.009,0.0,0.0
212,0.3,5.0,0.2,0.01,0.01,0.018
213,0.9,5.4,0.0,0.01,0.0056,0.0
214,18.3,59.8,0.2,0.2199,0.2725,0.018
215,1.5,8.4,0.0,0.0179,0.0013,0.0
216,0.6,1.2,0.0,0.009,0.0,0.0
217,2.1,9.0,0.2,0.0326,0.0113,0.018
218,0.3,50.4,0.0,0.003,0.0006,0.0
219,0.0,1.0,0.1,0.0,0.0,0.0095
220,0.3,22.4,0.2,0.01,0.014,0.018
221,0.6,6.2,0.0,0.0089,0.0,0.0
222,0.0,5.6,0.0,0.0,0.0,0.0
223,0.6,139.0,0.5,0.0157,0.1749,0.021
224,0.3,7.6,0.2,0.01,0.01,0.018
225,0.0,44.6,0.0,0.0,0.0,0.0
226,1.2,0.4,0.0,0.006,0.002,0.0
227,0.3,1.2,0.0,0.003,0.0,0.0
228,0.6,8.8,0.1,0.014,0.0,0.01
229,2.7,18.6,0.2,0.0728,0.0411,0.0068
230,1.8,48.0,0.0,0.052,0.0377,0.0
231,0.3,10.6,0.0,0.01,0.0,0.0
232,0.0,10.2,0.0,0.0,0.012,0.0
233,0.9,10.6,0.0,0.0171,0.0005,0.0
234,0.0,0.6,0.0,0.0,0.0,0.0
235,0.0,2.4,0.0,0.0,0.0,0.0
236,0.0,0.6,0.0,0.0,0.005,0.0
237,0.3,2.4,0.0,0.0057,0.0,0.0
238,0.0,0.0,0.0,0.0,0.0,0.0
239,0.6,1.2,0.0,0.0,0.0,0.0
240,0.3,41.0,0.2,0.01,0.01,0.018
241,0.3,1.4,0.1,0.0066,0.0,0.01
242,0.0,0.8,0.0,0.0,0.0,0.0
243,0.0,4.6,0.0,0.0,0.0,0.0
244,0.0,0.4,0.0,0.0,0.0,0.0
245,0.0,8.8,0.0,0.0,0.0,0.0
246,0.0,1.6,0.1,0.0,0.0,0.01
247,0.0,0.8,0.0,0.0,0.0,0.0
248,0.3,1.4,0.0,0.006,0.0,0.0
249,0.0,1.2,0.1,0.0,0.0,0.005
250,0.3,1.8,0.0,0.0,0.005,0.0
251,1.8,27.2,0.0,0.0557,0.0337,0.0
252,0.0,8.8,0.0,0.0,0.0,0.0
253,1.2,15.6,0.9,0.035,0.038,0.0665
254,0.6,8.8,0.0,0.0165,0.01,0.0
255,0.9,0.6,0.0,0.0136,0.0,0.0
256,0.3,75.6,0.0,0.007,0.0738,0.0
257,0.0,2.2,0.2,0.0,0.0,0.019
258,0.0,25.2,0.0,0.0,0.0,0.0
259,1.2,2.4,0.1,0.018,0.0,0.01
260,0.6,42.0,0.0,0.0095,0.01,0.0
261,1.5,28.8,0.0,0.0217,0.0013,0.0
262,0.3,0.2,0.0,0.01,0.0,0.0
263,0.0,2.8,0.0,0.0,0.0,0.0
264,1.2,109.2,0.4,0.028,0.0356,0.036
265,0.3,20.0,0.0,0.0,0.0,0.0
266,5.7,18.2,1.4,0.1235,0.0253,0.0903
267,1.2,2.0,0.2,0.028,0.0,0.02
268,0.3,6.0,0.0,0.002,0.005,0.0
269,0.3,44.6,0.3,0.0057,0.016,0.003
270,0.3,23.8,1.9,0.01,0.1185,0.1573
271,0.0,62.8,0.0,0.0,0.005,0.0
272,4.2,86.0,0.9,0.0965,0.1855,0.0586
273,6.3,140.6,0.9,0.1245,0.1164,0.0586
274,0.9,2.0,0.0,0.0235,0.0,0.0
275,39.3,283.2,0.5,0.4692,0.5407,0.022
276,0.0,2.8,0.0,0.0,0.0,0.0
277,0.3,6.4,0.0,0.0057,0.0,0.0
278,0.0,1.0,0.0,0.0,0.0,0.0
279,0.0,38.8,0.3,0.0,0.005,0.012
280,0.0,0.8,0.1,0.0,0.0,0.009
281,0.3,16.2,0.0,0.002,0.0,0.0
282,0.0,3.2,0.0,0.0,0.0,0.0
283,0.3,1.4,0.0,0.01,0.0,0.0
284,0.6,2.0,0.0,0.014,0.0006,0.0
285,0.3,4.2,0.0,0.0057,0.0,0.0
286,0.0,8.6,0.0,0.0,0.0,0.0
287,0.0,2.0,0.0,0.0,0.0,0.0
288,1.5,37.6,0.0,0.012,0.0,0.0
289,0.0,1.4,0.2,0.0,0.0,0.008
290,0.0,0.4,0.0,0.0,0.0,0.0
291,0.3,2.0,0.0,0.005,0.0,0.0
292,0.0,73.2,0.0,0.0,0.0685,0.0
293,0.0,1.4,0.0,0.0,0.0,0.0
294,0.0,2.8,0.0,0.0,0.0,0.0
295,1.2,26.8,0.2,0.025,0.0126,0.018
296,0.0,2.4,0.0,0.0,0.0,0.0
297,0.9,3.8,0.3,0.024,0.01,0.028
298,0.0,0.0,0.0,0.0,0.0,0.0
299,0.0,0.0,0.0,0.0,0.0,0.0
300,0.0,10.4,0.0,0.0,0.0,0.0
301,0.6,18.2,0.6,0.0114,0.02,0.006
302,0.3,4.0,0.3,0.0057,0.01,0.003
303,0.0,1.2,0.0,0.0,0.0,0.0
304,0.0,1.4,0.0,0.0,0.0,0.0
305,0.0,10.6,0.0,0.0,0.0,0.0
306,0.3,62.8,0.1,0.005,0.021,0.0025
307,0.6,1.2,0.0,0.0175,0.0,0.0
308,6.3,42.4,0.9,0.1375,0.0458,0.0586
309,8.7,23.2,0.2,0.1662,0.1105,0.018
310,2.4,72.8,0.6,0.0314,0.0233,0.006
311,22.2,106.4,1.1,0.3064,0.307,0.0755
312,0.0,2.6,0.0,0.0,0.0,0.0
313,0.6,1.0,0.1,0.014,0.0,0.01
314,0.6,15.2,0.0,0.0033,0.0096,0.0
315,0.0,1.2,0.0,0.0,0.0,0.0
316,0.6,1.6,0.0,0.0089,0.0,0.0
317,1.5,4.8,0.2,0.02,0.01,0.018
318,0.0,10.0,0.0,0.0,0.0,0.0
319,0.3,1.2,0.1,0.0,0.003,0.0025
320,0.0,7.4,0.0,0.0,0.0,0.0
321,1.2,16.2,0.0,0.016,0.0013,0.0
322,4.2,122.4,1.1,0.0965,0.061,0.0666
323,1.5,14.0,0.1,0.019,0.0705,0.002
324,0.0,8.4,0.0,0.0,0.0,0.0
325,0.3,7.4,0.2,0.01,0.01,0.018
326,0.0,0.6,0.0,0.0,0.0,0.0
327,18.3,79.2,0.1,0.2169,0.2625,0.008
328,1.8,1.6,0.0,0.0345,0.0,0.0
329,0.0,11.2,1.4,0.0,0.0,0.105
330,20.1,176.2,1.2,0.2562,0.3409,0.1035
331,0.0,1.6,0.0,0.0,0.0,0.0
332,0.3,0.0,0.0,0.0065,0.0,0.0
333,0.3,2.2,0.1,0.0066,0.0,0.007
334,0.3,13.2,0.0,0.0033,0.0096,0.0
335,18.3,123.2,0.1,0.2199,0.2625,0.0068
336,0.3,2.2,0.1,0.0057,0.0,0.0054
337,0.0,0.0,0.0,0.0,0.0,0.0
338,1.2,46.0,0.2,0.0223,0.0136,0.0195
339,0.6,36.0,0.0,0.01,0.0,0.0
340,0.6,8.6,0.0,0.012,0.0,0.0
341,0.0,1.4,0.1,0.0,0.0,0.003
342,0.3,2.0,0.1,0.002,0.0,0.008
343,0.3,2.6,0.3,0.01,0.01,0.027
344,0.0,2.0,0.1,0.0,0.0,0.008
345,4.5,66.2,1.7,0.1065,0.0838,0.0966
346,1.5,44.4,0.0,0.0271,0.0043,0.0
347,0.0,6.8,0.0,0.0,0.06,0.0
348,0.3,0.2,0.1,0.003,0.0,0.008
349,0.3,3.8,0.0,0.01,0.0,0.0
350,0.0,2.0,0.2,0.0,0.0,0.013
351,0.9,2.8,0.0,0.021,0.0,0.0
352,2.1,16.6,0.3,0.0378,0.0805,0.003
353,0.3,2.2,0.0,0.0055,0.01,0.0
354,0.0,1.6,0.0,0.0,0.0,0.0
355,0.0,28.4,0.0,0.0,0.0137,0.0
356,0.3,2.4,0.2,0.0085,0.0,0.007
357,0.0,0.0,0.0,0.0,0.0,0.0
358,0.0,1.8,0.0,0.0,0.0,0.0
359,0.0,0.4,0.0,0.0,0.0,0.0
360,0.3,2.2,0.0,0.002,0.0,0.0
361,0.3,0.0,0.1,0.005,0.0,0.004
362,0.0,0.2,0.0,0.0,0.0,0.0
363,0.0,1.6,0.0,0.0,0.003,0.0
364,0.3,7.4,0.3,0.0057,0.015,0.003
365,8.4,60.0,0.0,0.1562,0.1005,0.0
366,2.1,30.8,0.3,0.0365,0.0256,0.0155
367,3.3,66.2,0.9,0.0621,0.032,0.0597
368,0.3,0.2,0.0,0.0066,0.0,0.0
369,0.3,2.0,0.0,0.005,0.002,0.0
370,0.3,0.4,0.0,0.0,0.0,0.0
371,0.0,1.6,0.0,0.0,0.0,0.0
372,0.0,3.6,0.0,0.0,0.0,0.0
373,2.4,124.6,1.3,0.0697,0.2752,0.088
374,19.2,115.0,0.0,0.2354,0.2625,0.0
375,0.6,30.2,0.1,0.014,0.0,0.01
376,0.0,43.2,0.0,0.0,0.0,0.0
377,0.3,36.6,0.1,0.009,0.008,0.0054
378,0.0,0.8,0.0,0.0,0.0,0.0
379,1.2,3.0,0.4,0.027,0.02,0.036
380,0.3,2.4,0.0,0.0057,0.0,0.0
381,0.0,1.6,0.0,0.0,0.0,0.0
382,1.8,70.0,0.2,0.06,0.0517,0.018
383,0.0,1.8,0.1,0.0,0.001,0.0068
384,0.0,1.4,0.0,0.0,0.0,0.0
385,0.0,0.4,0.0,0.0,0.0,0.0
386,0.3,5.4,0.2,0.01,0.01,0.018
387,0.3,29.4,0.2,0.01,0.01,0.018
388,0.6,86.0,0.0,0.01,0.0086,0.0
389,2.7,18.2,0.1,0.0322,0.004,0.01
390,0.6,1.4,0.0,0.0108,0.0012,0.0
391,3.3,15.8,0.4,0.0753,0.005,0.0214
392,1.5,11.0,0.3,0.03,0.022,0.024
393,0.0,1.6,0.0,0.0,0.0035,0.0
394,20.7,243.0,0.6,0.2669,0.5321,0.054
395,0.3,8.8,0.0,0.004,0.0,0.0
396,0.3,47.0,0.2,0.01,0.01,0.018
397,2.1,12.2,0.0,0.0566,0.053,0.0
398,2.1,3.8,0.0,0.0402,0.0,0.0
399,0.0,1.0,0.0,0.0,0.0,0.0
400,0.0,4.8,0.0,0.0,0.0,0.0
401,1.8,7.4,0.0,0.021,0.01,0.0
402,0.0,0.0,0.0,0.0,0.0,0.0
403,0.0,1.8,0.0,0.0,0.004,0.0
404,0.9,54.0,0.2,0.017,0.002,0.0054
405,0.0,0.0,0.0,0.0,0.0,0.0
406,6.3,9.2,0.2,0.1338,0.0216,0.018
407,0.0,0.0,0.0,0.0,0.0,0.0
408,1.5,93.0,0.1,0.025,0.016,0.006
409,0.0,49.4,0.1,0.0,0.0057,0.0068
410,0.3,2.0,0.0,0.003,0.0,0.0
411,0.0,25.0,0.0,0.0,0.0086,0.0
412,0.0,1.2,0.0,0.0,0.0,0.0
413,0.0,1.2,0.0,0.0,0.0,0.0
414,0.0,3.2,0.0,0.0,0.0,0.0
415,0.0,1.4,0.0,0.0,0.0,0.0
416,0.0,0.6,0.0,0.0,0.0,0.0
417,2.4,7.0,0.0,0.0431,0.01,0.0
418,0.6,4.6,0.0,0.009,0.0,0.0
419,0.3,12.8,0.0,0.009,0.0033,0.0
420,2.1,47.0,0.2,0.0387,0.0183,0.018
421,0.3,2.8,0.1,0.003,0.0,0.006
422,0.9,9.4,0.2,0.017,0.015,0.018
423,0.3,0.2,0.0,0.006,0.0,0.0
424,0.0,1.8,0.1,0.0,0.0,0.008
425,0.0,2.8,0.0,0.0,0.0,0.0
426,0.3,1.8,0.1,0.004,0.0045,0.01
427,0.0,1.4,0.0,0.0,0.01,0.0
428,0.0,32.0,0.0,0.0,0.004,0.0
429,0.3,1.8,0.1,0.005,0.0,0.01
430,1.2,10.6,0.0,0.0191,0.0005,0.0
431,18.3,79.4,0.3,0.2157,0.2735,0.003
432,1.2,104.2,0.2,0.023,0.0356,0.008
433,0.0,2.2,0.0,0.0,0.004,0.0
434,0.3,0.6,0.0,0.0,0.0,0.0
435,0.0,0.8,0.0,0.0,0.0,0.0
436,0.0,0.0,0.0,0.0,0.0,0.0
437,0.3,2.4,0.2,0.01,0.01,0.018
438,0.9,10.8,0.4,0.022,0.02,0.036
439,0.9,3.8,0.0,0.018,0.007,0.0
440,1.2,14.4,0.0,0.016,0.0013,0.0
441,0.3,5.2,0.2,0.01,0.01,0.018
442,0.3,1.8,0.0,0.0075,0.0,0.0
443,0.0,5.4,0.1,0.0,0.0,0.003
444,0.0,1.8,0.0,0.0,0.001,0.0
445,0.6,2.8,0.0,0.0,0.0,0.0
446,0.3,40.0,0.3,0.01,0.0153,0.021
447,0.3,94.0,0.2,0.007,0.0043,0.008
448,0.3,1.6,0.0,0.01,0.0023,0.0
449,18.3,67.8,0.2,0.2199,0.2725,0.018
450,0.6,13.2,0.1,0.014,0.0005,0.01
451,1.2,13.2,0.0,0.016,0.0013,0.0
452,0.0,2.0,0.0,0.0,0.0,0.0
453,0.0,1.8,0.0,0.0,0.0,0.0
454,3.6,28.0,0.5,0.0637,0.0376,0.021
455,0.0,0.0,0.0,0.0,0.0,0.0
456,0.0,2.0,0.0,0.0,0.0,0.0
457,0.0,2.2,0.0,0.0,0.0,0.0
458,0.3,18.0,0.3,0.0057,0.01,0.003
459,0.6,1.0,0.1,0.014,0.0,0.01
460,0.0,40.6,0.0,0.0,0.0,0.0
461,0.0,16.0,0.3,0.0,0.0278,0.0146
462,19.5,66.2,0.5,0.2257,0.2885,0.021
463,0.3,3.6,0.3,0.01,0.012,0.028
464,0.0,1.6,0.2,0.0,0.0,0.016
465,0.9,1.6,0.0,0.011,0.0,0.0
466,0.0,9.8,0.0,0.0,0.0,0.0
467,0.0,0.0,0.0,0.0,0.0,0.0
468,0.0,0.6,0.0,0.0,0.0,0.0
469,0.6,1.2,0.0,0.013,0.0,0.0
470,0.3,3.4,0.2,0.01,0.01,0.018
471,0.0,2.4,0.0,0.0,0.0,0.0
472,0.0,0.8,0.0,0.0,0.0,0.0
473,0.6,17.0,0.2,0.012,0.01,0.018
474,0.0,0.4,0.0,0.0,0.0,0.0
475,2.1,19.6,0.7,0.0397,0.0377,0.0182
476,0.0,3.6,0.0,0.0,0.0021,0.0
477,0.3,9.0,0.0,0.002,0.0,0.0
478,0.9,0.6,0.0,0.012,0.01,0.0
479,0.3,72.0,0.2,0.01,0.025,0.018
480,0.0,20.6,0.0,0.0,0.0,0.0
481,0.0,0.0,0.0,0.0,0.0,0.0
482,0.0,13.6,0.2,0.0,0.0,0.008
483,0.6,11.2,1.8,0.014,0.006,0.1493
484,0.0,0.0,0.0,0.0,0.0,0.0
485,0.6,62.8,0.2,0.0114,0.0229,0.018
486,0.0,0.0,0.0,0.0,0.0,0.0
487,0.0,77.6,0.6,0.0,0.02,0.0519
488,0.0,14.2,0.0,0.0,0.0,0.0
489,0.0,1.8,0.0,0.0,0.0,0.0
490,0.0,14.4,0.0,0.0,0.0,0.0
491,0.0,0.0,0.0,0.0,0.0,0.0
492,2.4,17.8,0.4,0.0441,0.102,0.032
493,0.0,1.2,0.0,0.0,0.005,0.0
494,0.0,78.2,0.2,0.0,0.088,0.015
495,0.0,1.4,0.0,0.0,0.0,0.0
496,0.0,0.0,0.0,0.0,0.0,0.0
497,0.0,1.2,0.0,0.0,0.0,0.0
498,0.0,0.0,0.0,0.0,0.0,0.0
499,0.3,2.4,0.0,0.0057,0.0,0.0
500,0.6,1.6,0.0,0.0141,0.0,0.0
501,0.0,0.0,0.0,0.0,0.0,0.0
502,0.0,18.0,0.2,0.0,0.0,0.008
503,0.0,0.0,0.0,0.0,0.0,0.0
504,0.3,1.0,0.0,0.009,0.0,0.0
505,0.0,3.4,0.0,0.0,0.0,0.0
506,0.3,2.4,0.2,0.01,0.01,0.018
507,0.0,4.6,0.3,0.0,0.0096,0.0155
508,0.0,27.2,0.0,0.0,0.0,0.0
509,0.9,2.6,0.1,0.0204,0.01,0.01
510,4.2,39.2,0.9,0.0965,0.0478,0.0586
511,0.6,15.2,0.4,0.02,0.02,0.036
512,0.0,12.4,0.0,0.0,0.0,0.0
513,0.0,0.8,0.0,0.0,0.005,0.0
514,0.0,64.8,0.0,0.0,0.0685,0.0
515,0.6,1.0,0.0,0.0175,0.0,0.0
516,0.3,16.2,0.0,0.006,0.0,0.0
517,0.0,23.4,0.0,0.0,0.0738,0.0
518,0.0,3.4,0.0,0.0,0.0,0.0
519,0.0,2.8,0.0,0.0,0.005,0.0
520,0.0,0.0,0.0,0.0,0.0,0.0
521,0.6,1.8,0.1,0.008,0.0,0.01
