 ,score
532,11.0
533,0.4
534,2.6
535,2.0
536,7.2
537,0.0
538,33.5
539,12.9
540,1.8
541,10.6
542,18.4
543,0.9
544,23.6
545,15.3
546,2.6
547,2.0
548,106.0
549,0.0
550,2.9
551,0.0
552,45.5
553,2.9
554,14.2
555,28.8
556,1.6
557,57.7
558,1.3
559,0.2
560,5.3
561,1.5
562,1.3
563,1.2
564,1.5
565,22.9
566,39.2
567,77.0
568,35.8
569,1.6
570,0.0
571,32.3
572,28.8
573,57.7
574,8.6
575,0.0
576,0.8
577,1.7
578,57.4
579,0.2
580,19.5
581,147.1
582,0.2
583,6.2
584,21.8
585,27.6
586,137.1
587,5.0
588,17.4
589,1.6
590,35.6
591,18.2
592,18.4
593,20.3
594,70.0
595,104.0
596,8.6
597,2.4
598,62.2
599,0.2
600,35.0
601,2.8
602,20.6
603,55.0
604,15.8
605,79.0
606,0.8
607,48.5
608,17.2
609,1.6
610,1.3
611,2.6
612,8.8
613,28.2
614,71.0
615,52.3
616,11.2
617,22.9
618,0.7
619,34.3
620,2.7
621,2.0
622,0.2
623,62.1
624,0.7
625,43.1
626,5.4
627,2.9
628,0.4
629,42.6
630,11.1
631,10.3
632,1.3
633,13.6
634,2.1
635,2.0
636,111.8
637,1.4
638,73.5
639,1.0
640,4.7
641,1.2
642,17.0
643,2.0
644,8.5
645,10.2
646,0.4
647,11.2
648,5.2
649,35.0
650,6.8
651,2.0
652,1.2
653,15.0
654,13.7
655,39.0
656,19.5
657,6.4
658,2.6
659,0.4
660,1.4
661,0.3
662,62.1
663,4.0
664,12.8
665,7.8
666,0.9
667,0.6
668,18.3
669,1.2
670,5.4
671,64.5
672,14.6
673,28.6
674,130.1
675,2.6
676,0.3
677,2.8
678,0.6
679,52.7
680,3.5
681,6.6
682,7.8
683,66.8
684,2.0
685,0.0
686,0.2
687,0.4
688,42.3
689,1.8
690,10.9
691,7.2
692,104.6
693,1.8
694,1.0
695,0.8
696,14.2
697,100.7
698,49.4
699,1.1
700,1.9
701,1.1
702,25.4
703,0.4
704,53.2
705,2.1
706,1.6
707,13.1
708,0.1
709,117.8
710,4.9
711,3.9
712,3.6
713,20.0
714,70.3
715,12.4
716,20.4
717,0.4
718,13.8
719,2.0
720,19.3
721,42.1
722,5.2
723,11.4
724,2.4
725,2.5
726,19.1
727,25.7
728,2.6
729,0.0
730,8.6
731,0.6
732,0.6
733,2.1
734,1.8
735,107.8
736,9.2
737,0.5
738,30.6
739,43.5
740,9.8
741,15.6
742,2.8
743,3.9
744,1.0
745,2.8
746,6.6
747,9.7
748,35.0
749,27.3
750,1.6
751,43.6
752,63.3
753,3.8
754,3.8
755,8.1
756,29.4
757,39.2
758,0.6
759,13.8
760,17.8
761,6.1
762,3.0
763,14.5
764,3.9
765,11.0
766,2.9
767,1.0
768,16.4
769,111.1
770,16.4
771,38.0
772,43.0
773,49.1
774,2.1
775,1.4
776,14.6
777,2.4
778,0.9
779,16.4
780,17.8
781,2.1
782,53.5
783,29.0
784,25.6
785,37.0
786,0.4
787,45.4
788,49.6
789,55.9
790,2.3
791,90.6
792,2.2
793,2.5
794,3.5
795,38.4
796,16.5
797,21.8
798,0.9
799,0.7
800,1.0
801,44.0
802,2.2
803,3.4
804,2.3
805,15.7
806,1.3
807,2.1
808,2.8
809,2.8
810,2.4
811,2.1
812,17.8
813,53.1
814,1.2
815,67.4
816,1.5
817,2.7
818,1.8
819,2.1
820,40.8
821,2.7
822,12.7
823,1.5
824,27.4
825,0.3
826,4.1
827,78.7
828,3.0
829,100.1
830,32.2
831,2.2
832,1.0
833,1.1
834,114.5
835,138.5
836,71.2
837,16.1
838,1.7
839,7.5
840,3.0
841,2.3
842,27.0
843,2.1
844,18.6
845,6.0
846,6.2
847,1.6
848,1.2
849,0.2
850,1.1
851,42.0
852,15.1
853,1.3
854,0.6
855,1.9
856,4.2
857,42.4
858,0.6
859,2.4
860,0.9
861,55.4
862,2.8
863,6.5
864,3.4
865,7.5
866,5.7
867,21.4
868,176.5
869,44.0
870,25.5
871,0.4
872,9.2
873,138.5
874,1.2
875,1.8
876,1.7
877,7.4
878,0.7
879,11.4
880,1.8
881,88.7
882,3.6
883,1.8
884,2.0
885,0.0
886,3.2
887,24.5
888,50.1
889,38.7
890,2.9
891,0.8
892,0.9
893,1.2
894,32.5
895,5.6
896,31.3
897,53.3
898,46.2
899,1.6
900,3.5
901,49.4
902,22.3
903,63.4
904,39.8
905,10.4
906,1.0
907,1.5
908,78.4
909,5.0
910,1.7
911,2.6
912,19.1
913,1.4
914,8.0
915,0.0
916,2.2
917,58.4
918,1.8
919,17.6
920,10.6
921,15.6
922,1.2
923,141.7
924,4.0
925,3.8
926,12.0
